iter	Passed	Remaining
401	38794	57708
402	38401	38373	403	39093	57673
404	39127	57483
405	39238	57408
406	39303	57265
407	39436	57221
408	39600	57222
409	39649	57057
410	39758	56977
411	39827	56841
412	39896	56705
413	40038	56672
414	40102	56529
415	40148	56361
416	40208	56215
417	40247	56038
418	40310	55895
419	40380	55763
420	40519	55726
421	40571	55569
422	40645	55443
423	40784	55405
424	40834	55246
425	40877	55078
426	40917	54907
427	40983	54771
428	41006	54579
429	41146	54543
430	41208	54402
431	41253	54240
432	41360	54160
433	41449	54056
434	41500	53902
435	41570	53775
436	41658	53669
437	41707	53515
438	41803	53420
439	41883	53305
440	41916	53131
441	41990	53010
442	42030	52846
443	42127	52754
444	42198	52630
445	42236	52463
446	42266	52289
447	42326	52152
448	42398	52030
449	42464	51900
450	42620	51881
451	42673	51736
452	42716	51580
453	42801	51475
454	42453	42263	455	42930	51215
456	43455	42449	50641
456	42529	50532
457	42598	50411
458	42642	460	43459	42720	50150
460	42840	50089
461	42913	49972
462	43053	49934
463	43170	49869
464	43275	466	43465	43351	467	44466	43441	468	44467	43531	469	44468	43639	470	44469	43761	49348
470	43833	49231
471	43922	49133
472	43967	48986
473	44064	48898
474	44185	48836
475	44242	48704
476	44338	48614
477	44369	48454
478	44498	48400
479	44580	48295
480	44608	48132
481	44693	48031
482	44735	47884
483	44797	47759
484	44961	47742
485	45060	47656
486	45144	47555
487	45199	47422
488	45260	47296
489	45355	47206
490	45363	47026
491	45377	46852
492	45476	46767
493	45593	46700
494	45674	46597
495	45793	497	46496	45852	498	46497	45927	499	46684	46684
500	46761	46574
501	46500	46218	502	46501	46296	503	47068	46321
504	47503	46462	505	47164	46046
506	47276	45970
507	47373	45881
508	47432	45755
509	47580	45714
510	47678	45625
511	47761	45522
512	47810	45387
513	47911	45301
514	48007	45210
515	48109	45125
516	48189	45020
517	48276	44921
518	48387	44844
519	48537	44803
520	48736	44807
521	48870	44750
522	49002	44692
523	49048	44555
524	49281	44588
525	49358	44478
526	49394	44333
527	49474	44227
528	49579	44143
529	49638	44018
530	49709	43905
531	49781	43792
532	49878	43702
533	49939	43579
534	49976	43437
535	50056	43332
536	50103	43198
537	50205	43113
538	50275	43000
539	50399	42932
540	50510	42854
541	50547	42713
542	50620	42603
543	50682	42484
544	50727	42350
545	50847	42279
546	50904	42157
547	50965	42036
548	51043	41931
549	51095	41805
550	51279	41786
551	51370	41691
552	51457	41594
553	51512	41469
554	51545	41329
555	51645	41241
556	51694	41114
557	51743	40987
558	51857	40910
559	51920	40794
560	51977	40674
561	52113	40615
562	52175	40498
563	52218	40367
564	52292	40260
565	52374	40160
566	52441	40047
567	52510	39937
568	52576	39825
569	52695	39752
570	52784	39657
571	52857	39550
572	52907	39426
573	52968	39311
574	53030	39196
575	53101	39088
576	53138	38955
577	53246	38875
578	53368	38804
579	53506	38745
580	53640	38683
581	53685	38557
582	53823	38498
583	53955	38434
584	54021	38322
585	54104	38224
586	54212	38142
587	54286	38037
588	54379	37945
589	54460	37845
590	54488	37708
591	54602	37631
592	54670	37522
593	54758	37427
594	54853	37337
595	54871	37194
596	54988	37119
597	55029	36993
598	55113	36895
599	55210	36806
600	55323	36729
601	55421	36640
602	55494	36536
603	55645	36482
604	55700	36366
605	55872	36326
606	55962	36232
607	56075	36153
608	56227	36100
609	56256	35967
610	56567	36014
611	56673	35930
612	57131	36068
613	57195	35956
614	57256	35843
615	57332	35739
616	57383	35620
617	57523	35556
618	57684	35505
619	57749	35394
620	57956	35371
621	58075	35293
622	58171	35201
623	58237	35091
624	58261	34956
625	58276	34816
626	58430	34760
627	58684	34762
628	58766	34662
629	58835	34554
630	58964	34481
631	59050	34383
632	59087	34257
633	59167	34156
634	59303	34087
635	59405	33999
636	59461	33884
637	59554	33791
638	59615	33679
639	59659	33558
640	59687	33428
