iter	Logloss
0	0.681752124611	0.6693746565
2	0.6579055139
3	0.647191586444	0.637232177955	0.6300345362
6	0.622654774
7	0.6152264901
8	0.606178614
9	0.5986898414
10	0.5921318955
11	0.5851189088
12	0.5768250494
13	0.5707368725
14	0.5651644488
15	0.5604079221
16	0.5553547026
17	0.5496849419
18	0.5458007362
19	0.5411758141
20	0.5372065563
21	0.5326200647
22	0.5290249068
23	0.5239695786
24	0.5203362963
25	0.5167598788
26	0.5129189294
27	0.5096356122
28	0.5073191442
29	0.5050233392
30	0.5013964932
31	0.4988815221
32	0.4967110107
33	0.4932116761
34	0.4915084273
35	0.4881560418
36	0.4864479149
37	0.4843472177
38	0.4818117019
39	0.4789277507
40	0.476557971
41	0.4751264111
42	0.4725106854
43	0.4710723987
44	0.4688103821
45	0.4672786147
46	0.4661167323
47	0.4645694658
48	0.4634080638
49	0.4622329089
50	0.4605354324
51	0.45952146
52	0.4580786334
53	0.4566462997
54	0.45560005
55	0.4542442147
56	0.4535079725
57	0.4526634788
58	0.4508348818
59	0.4494031328
60	0.4484969079
61	0.4477320451
62	0.4466587286
63	0.4459741209
64	0.445131059
65	0.444446334
66	0.4436251948
67	0.4432270549
68	0.442585611
69	0.4420221603
70	0.4406858561
71	0.4400829991
72	0.4392353736
73	0.438807262
74	0.4383006286
75	0.4371595002
76	0.4364423589
77	0.4354561375
78	0.4344455344
79	0.4334706295
80	0.4332190082
81	0.4328959328
82	0.4322549431
83	0.4316843685
84	0.4311447137
85	0.4299199113
86	0.4294670559
87	0.4290712882
88	0.428714504
89	0.4283405875
90	0.4277416876
91	0.4272619056
92	0.4267915881
93	0.4260120395
94	0.4250799342
95	0.424832158
96	0.4241500157
97	0.4235547775
98	0.4232481433
99	0.4224169289
100	0.4220406802
101	0.4216461134
102	0.4213104241
103	0.4210174714
104	0.4207309097
105	0.4203499145
106	0.4200925142
107	0.4194628638
108	0.4192502457
109	0.4187997023
110	0.4185092425
111	0.4182455642
112	0.4178632226
113	0.4176032826
114	0.4172181178
115	0.4167488945
116	0.416486842
117	0.4162709846
118	0.4160789332
119	0.4154944367
120	0.4149806394
121	0.4146467349
122	0.4143318758
123	0.4138584941
124	0.4136631169
125	0.4131511489
126	0.4129004472
127	0.4125314546
128	0.41218166
129	0.4118637703
130	0.4116874323
131	0.4111462032
132	0.4106305716
133	0.410370791
134	0.409878146
135	0.4096252258
136	0.4093214895
137	0.4091964009
138	0.408922648
139	0.4085186765
140	0.4082888059
141	0.4077234455
142	0.4073940454
143	0.4072126042
144	0.4071112876
145	0.4068506594
146	0.406581227
147	0.4064318996
148	0.4061027816
149	0.4057620443
150	0.4055817292
151	0.4051645648
152	0.4047024174
153	0.4042938984
154	0.4040768362
155	0.4037241047
156	0.403478155
157	0.402988589
158	0.4026913767
159	0.4025223435
160	0.4022348051
161	0.4020089061
162	0.4018725355
163	0.4015426027
164	0.4011633111
165	0.4010401727
166	0.4008445708
167	0.4006077339
168	0.4003424479
169	0.4000939795
170	0.3999561059
171	0.3998187507
172	0.3997057087
173	0.3995632185
174	0.3993465157
175	0.3991227582
176	0.3989869994
177	0.3988113888
178	0.3983733446
179	0.3981203867
180	0.397733752
181	0.3974610871
182	0.3972887968
183	0.3969104032
184	0.3965950113
185	0.3961545668
186	0.3958886557
187	0.3954934955
188	0.3951208053
189	0.3948644544
190	0.3946740367
191	0.3944660169
192	0.3940266106
193	0.3939278775
194	0.3936085364
195	0.3934598309
196	0.3930897827
197	0.3929418358
198	0.3926514152
199	0.3924435435
200	0.3922335441
201	0.3920990907
202	0.3919091917
203	0.3917148703
204	0.3914690569
205	0.3912699698
206	0.3909787648
207	0.3908685844
208	0.3906504106
209	0.3904302146
210	0.3903227379
211	0.3901424081
212	0.3899887556
213	0.3897506781
214	0.3895771904
215	0.3893768892
216	0.389145516
217	0.3889837761
218	0.3888144808
219	0.3886524371
220	0.3884508452
221	0.388243613
222	0.3880807197
223	0.3879524242
224	0.3877540694
225	0.3876392279
226	0.3873648528
227	0.3872173996
228	0.3869803501
229	0.3867375649
230	0.3865789216
231	0.3864577577
232	0.3862536497
233	0.3858967895
234	0.3857051732
235	0.3854847846
236	0.3853250042
237	0.3851590792
238	0.3850180286
239	0.3847804864
240	0.3846575272
241	0.3845327311
242	0.3844179523
243	0.3842696651
244	0.3840160079
245	0.3839207873
246	0.3837582906
247	0.3835794002
248	0.3832885577
249	0.3831590301
250	0.3827897656
251	0.3826366874
252	0.3824814497
253	0.3823704274
254	0.3822422481
255	0.3821675039
256	0.381984798
257	0.3818735439
258	0.3817232289
259	0.3815319984
260	0.3813626598
261	0.3811044294
262	0.3807841697
263	0.3805615259
264	0.38037612
265	0.3801534478
266	0.3798868809
267	0.3795446907
268	0.379385278
269	0.3790706859
270	0.3786434694
271	0.3785271686
272	0.3782842124
273	0.3781395597
274	0.3780211257
275	0.3777473542
276	0.3775447321
277	0.3772900621
278	0.37717305
279	0.3770518222
280	0.376938493
281	0.3767700971
282	0.3766367415
283	0.3764367987
284	0.3763023859
285	0.3761840779
286	0.3759796942
287	0.3757235167
288	0.3754138979
289	0.3752432148
290	0.3750246245
291	0.3748462924
292	0.3747123004
293	0.3745329721
294	0.3741719481
295	0.3738474306
296	0.3737152303
297	0.3735615802
298	0.3732993704
299	0.3731641776
300	0.3729096082
301	0.3726482328
302	0.3724656912
303	0.37224477
304	0.371959878
305	0.3717219251
306	0.3715851977
307	0.3714096167
308	0.3710674833
309	0.3709479701
310	0.3706153715
311	0.3704327426
312	0.3703142368
313	0.3700422657
314	0.3698584856
315	0.3695502138
316	0.3692920382
317	0.3689773346
318	0.3687714608
319	0.36844463
320	0.3681622096
321	0.3678980686
322	0.367688032
323	0.3675179369
324	0.3673774936
325	0.367262055
326	0.3671127111
327	0.3668635691
328	0.3667700666
329	0.3666012521
330	0.3663575579
331	0.3662109245
332	0.3661279961
333	0.3659943378
334	0.3656777541
335	0.3655649005
336	0.3653311575
337	0.3651257588
338	0.3648715764
339	0.3646801925
340	0.3645860099
341	0.3643910562
342	0.3642412884
343	0.3638419326
344	0.3634750927
345	0.3633291984
346	0.3632171467
347	0.3629975791
348	0.3627733261
349	0.3625806573
350	0.3624596219
351	0.3623385017
352	0.361701105
353	0.3614046277
354	0.3612784028
355	0.3611003081
356	0.3609925842
357	0.3607701287
358	0.3605839687
359	0.3603374093
360	0.360181104
361	0.3600177303
362	0.3597324134
363	0.3594924232
364	0.3592678025
365	0.3591943714
366	0.3589885927
367	0.3587112284
368	0.3585775499
369	0.3584283408
370	0.3581532401
371	0.3577420456
372	0.3575601005
373	0.3573773425
374	0.3572064968
375	0.3570136414
376	0.356854774
377	0.3566996031
378	0.3565956046
379	0.3561470001
380	0.3558697833
381	0.355635525
382	0.3555361599
383	0.3552418164
384	0.3550663612
385	0.3548579298
386	0.3545706057
387	0.3543514195
388	0.3541837817
389	0.3540173567
390	0.3538516128
391	0.353710392	0392	0.353512393	0393	0.353341394	0394	0.353243395	0395	0.353123396	0396	0.3530036538
397	0.35274398	0.398	0.3526234711
399	0.35234400	0.400	0.35215401	0401	0.3519767314
402	0.351872403	0403	0.3517265179
404	0.351539405	0405	0.351383406	0406	0.351200407	0407	0.351059408	0.3499776139
409	0409	0.350872410	0410	0.350670411	0411	0.350471412	0412	0.350360413	0.3488600173
414	0.3485733705
415	0.3484519023
416	0.3483554638
417	0.3482616438
418	0.3481291183
419	0.3479077152
420	0.3477932415
421	0.3476005006
422	0.3472504594
423	0.3470371018
424	0.3469301208
425	0.3468127713
426	0.3466677403
427	0.3465237455
428	0.346320861
429	0.3458723719
430	0.3457082364
431	0.3454858824
432	0.345266298
433	0.3450776838
434	0.3448433905
435	0.34426123
436	0.3440866425
437	0.3438668522
438	0.3436983934
439	0.3436139587
440	0.3433431567
441	0.343178679
442	0.3429878851
443	0.3428777826
444	0.3428045458
445	0.3427173082
446	0.342392484
447	0.342250968
448	0.3421475248
449	0.341449	0.34450	0.3418825236
451	0.3417033888
452	0.341452	0.34453	0.341453	0.3417576625
454	0.34455	0.340455	0.341356939
456	0.3412506864
